claim_file,target,verdict,risk_tier,score,caveats,fired_rules,cheapest_fix,action_items,report_json
s1_pcsk9_hypercholesterolemia.yaml,PCSK9,SURVIVED,TIER_3_PROCEED,0.0,0,-,-,data gap: R2_chemistry_support abstained (no input),/kaggle/working/falsifiable-targets-main/reports/portfolio/s1_pcsk9_hypercholesterolemia.json
s2_bace1_alzheimers.yaml,BACE1,FALSIFIED_WITH_CAVEATS,TIER_2_INVESTIGATE,0.0,1,-,-,R3_genetics_support: clinical outcome contested; framework does not predict trial outcomes - mechanism validity does not entail clinical efficacy,/kaggle/working/falsifiable-targets-main/reports/portfolio/s2_bace1_alzheimers.json
s3_stap_cells_retracted.yaml,OCT4,FALSIFIED,TIER_1_DROP,0.5,0,R5_replication,R5_replication @ public_data_lookup,R5_replication FALSIFIED @ public_data_lookup: PubMed / Retraction Watch lookup. Primary claim is retracted (2014).,/kaggle/working/falsifiable-targets-main/reports/portfolio/s3_stap_cells_retracted.json
s4_class_collapse_phantom.yaml,SAT_PATHOGEN_HOMOLOG_X,FALSIFIED,TIER_1_DROP,0.2,1,R6_chemistry_class_collapse,R6_chemistry_class_collapse @ public_data_lookup,R6_chemistry_class_collapse FALSIFIED @ public_data_lookup: Group ChEMBL hits by Pfam class. 91% are HDAC4 inhibitors - the chemistry support for SAT_PATHOGEN_HOMOLOG_X is class-collapsed phantom evidence.,/kaggle/working/falsifiable-targets-main/reports/portfolio/s4_class_collapse_phantom.json
s5_novel_pathogen_weak.yaml,FUNGAL_KINASE_FKx1,FALSIFIED_WITH_CAVEATS,TIER_2_INVESTIGATE,0.0,2,-,-,"R1_orthology: orthology sources disagree (1/4, strict majority requires 3); selectivity claim weakened until resolved structurally; R7_selectivity_counterscreen: no selectivity data for a novel-target claim; the selectivity vs human paralog question is unresolved and the claim remains provisional until counter-screen dat",/kaggle/working/falsifiable-targets-main/reports/portfolio/s5_novel_pathogen_weak.json
s6a_malformed.yaml,(unparsed),ERROR,TIER_0_FIX_INPUT,,0,,-,"ERROR: invalid claim_type 'validatedmechanism' in /kaggle/working/falsifiable-targets-main/tests/hardtest_claims/s6a_malformed.yaml. Valid: ['validated_mechanism', 'novel_target', 'chemistry_series', ",
s6b_missing_claim_type.yaml,(unparsed),ERROR,TIER_0_FIX_INPUT,,0,,-,ERROR: /kaggle/working/falsifiable-targets-main/tests/hardtest_claims/s6b_missing_claim_type.yaml missing required claim fields: ['claim_type'],
s6c_empty.yaml,(unparsed),ERROR,TIER_0_FIX_INPUT,,0,,-,ERROR: claim file is empty: /kaggle/working/falsifiable-targets-main/tests/hardtest_claims/s6c_empty.yaml,
s6d_yaml_parse_error.yaml,(unparsed),ERROR,TIER_0_FIX_INPUT,,0,,-,ERROR: YAML parse error in /kaggle/working/falsifiable-targets-main/tests/hardtest_claims/s6d_yaml_parse_error.yaml:,
s7_kras_g12c_nsclc.yaml,KRAS,FALSIFIED_WITH_CAVEATS,TIER_2_INVESTIGATE,0.0,1,-,-,R3_genetics_support: clinical outcome contested; framework does not predict trial outcomes - mechanism validity does not entail clinical efficacy,/kaggle/working/falsifiable-targets-main/reports/portfolio/s7_kras_g12c_nsclc.json
s8_ccr5_hiv_cure.yaml,CCR5,SURVIVED,TIER_3_PROCEED,0.0,0,-,-,all rules cleared,/kaggle/working/falsifiable-targets-main/reports/portfolio/s8_ccr5_hiv_cure.json
s9_zikv_ns5_contradictory.yaml,ZIKV_NS5,FALSIFIED_WITH_CAVEATS,TIER_2_INVESTIGATE,0.0,1,-,-,"R1_orthology: orthology sources disagree (2/4, strict majority requires 3); selectivity claim weakened until resolved structurally",/kaggle/working/falsifiable-targets-main/reports/portfolio/s9_zikv_ns5_contradictory.json
